,comunidad_autonoma,provincias,ramas de actividad,magnitud,periodo,total
125,Andalucía,Almería,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo asalariado (miles de personas),2019,57.5
126,País Vasco,Araba/Álava,"A. Agricultura, ganadería, silvicultura y pesca",Empleo total (miles de personas),2021,1.8
127,País Vasco,Araba/Álava,"A. Agricultura, ganadería, silvicultura y pesca",Empleo total (miles de personas),2020,2.3
128,País Vasco,Araba/Álava,"A. Agricultura, ganadería, silvicultura y pesca",Empleo total (miles de personas),2019,2.2
129,País Vasco,Araba/Álava,"A. Agricultura, ganadería, silvicultura y pesca",Empleo asalariado (miles de personas),2021,0.7
130,País Vasco,Araba/Álava,"A. Agricultura, ganadería, silvicultura y pesca",Empleo asalariado (miles de personas),2020,0.9
131,País Vasco,Araba/Álava,"A. Agricultura, ganadería, silvicultura y pesca",Empleo asalariado (miles de personas),2019,0.7
132,País Vasco,Araba/Álava,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo total (miles de personas),2021,39.7
133,País Vasco,Araba/Álava,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo total (miles de personas),2020,40.4
134,País Vasco,Araba/Álava,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo total (miles de personas),2019,42.2
135,País Vasco,Araba/Álava,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo asalariado (miles de personas),2021,39.0
136,País Vasco,Araba/Álava,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo asalariado (miles de personas),2020,39.8
137,País Vasco,Araba/Álava,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo asalariado (miles de personas),2019,41.5
138,País Vasco,Araba/Álava,C. - De las cuales: Industria manufacturera,Empleo total (miles de personas),2021,38.2
139,País Vasco,Araba/Álava,C. - De las cuales: Industria manufacturera,Empleo total (miles de personas),2020,38.8
140,País Vasco,Araba/Álava,C. - De las cuales: Industria manufacturera,Empleo total (miles de personas),2019,40.5
141,País Vasco,Araba/Álava,C. - De las cuales: Industria manufacturera,Empleo asalariado (miles de personas),2021,37.5
142,País Vasco,Araba/Álava,C. - De las cuales: Industria manufacturera,Empleo asalariado (miles de personas),2020,38.2
143,País Vasco,Araba/Álava,C. - De las cuales: Industria manufacturera,Empleo asalariado (miles de personas),2019,39.8
144,País Vasco,Araba/Álava,F. Construcción,Empleo total (miles de personas),2021,5.5
145,País Vasco,Araba/Álava,F. Construcción,Empleo total (miles de personas),2020,5.7
146,País Vasco,Araba/Álava,F. Construcción,Empleo total (miles de personas),2019,6.3
147,País Vasco,Araba/Álava,F. Construcción,Empleo asalariado (miles de personas),2021,4.4
148,País Vasco,Araba/Álava,F. Construcción,Empleo asalariado (miles de personas),2020,4.8
149,País Vasco,Araba/Álava,F. Construcción,Empleo asalariado (miles de personas),2019,5.3
150,País Vasco,Araba/Álava,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo total (miles de personas),2021,37.0
